# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
# File: /home/luotian2/Desktop/ece385/ECE385_SP2020/lab6/lab6.csv
# Generated on: Wed Feb 26 19:38:30 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
HEX4[3],Output,PIN_AH21,4,B4_N2,PIN_AA22,,,,,,
HEX4[2],Output,PIN_AG21,4,B4_N2,PIN_AD26,,,,,,
HEX4[1],Output,PIN_AA19,4,B4_N0,PIN_AC22,,,,,,
HEX4[0],Output,PIN_AB19,4,B4_N0,PIN_Y17,,,,,,
HEX5[6],Output,PIN_AH18,4,B4_N2,PIN_AE22,,,,,,
HEX5[5],Output,PIN_AF18,4,B4_N1,PIN_AD24,,,,,,
HEX5[4],Output,PIN_AG19,4,B4_N2,PIN_AB20,,,,,,
HEX5[3],Output,PIN_AH19,4,B4_N2,PIN_AE23,,,,,,
HEX5[2],Output,PIN_AB18,4,B4_N0,PIN_AF22,,,,,,
HEX5[1],Output,PIN_AC18,4,B4_N1,PIN_AB19,,,,,,
HEX5[0],Output,PIN_AD18,4,B4_N1,PIN_AB18,,,,,,
HEX6[6],Output,PIN_AC17,4,B4_N2,PIN_U21,,,,,,
HEX6[5],Output,PIN_AA15,4,B4_N2,PIN_R25,,,,,,
HEX6[4],Output,PIN_AB15,4,B4_N2,PIN_U27,,,,,,
HEX6[3],Output,PIN_AB17,4,B4_N1,PIN_T21,,,,,,
HEX6[2],Output,PIN_AA16,4,B4_N2,PIN_M24,,,,,,
HEX6[1],Output,PIN_AB16,4,B4_N2,PIN_T22,,,,,,
HEX6[0],Output,PIN_AA17,4,B4_N1,PIN_R26,,,,,,
HEX7[6],Output,PIN_AA14,3,B3_N0,PIN_U24,,,,,,
HEX7[5],Output,PIN_AG18,4,B4_N2,PIN_AH25,,,,,,
HEX7[4],Output,PIN_AF17,4,B4_N2,PIN_AD19,,,,,,
HEX7[3],Output,PIN_AH17,4,B4_N2,PIN_U28,,,,,,
HEX7[2],Output,PIN_AG17,4,B4_N2,PIN_W28,,,,,,
HEX7[1],Output,PIN_AE17,4,B4_N2,PIN_M23,,,,,,
HEX7[0],Output,PIN_AD17,4,B4_N2,PIN_AB28,,,,,,
LB,Output,PIN_AD4,3,B3_N2,PIN_F24,,,,,,
LED[11],Output,PIN_H16,7,B7_N2,PIN_C10,,,,,,
LED[10],Output,PIN_J15,7,B7_N2,PIN_A8,,,,,,
LED[9],Output,PIN_G17,7,B7_N1,PIN_AG3,,,,,,
LED[8],Output,PIN_J17,7,B7_N2,PIN_G13,,,,,,
LED[7],Output,PIN_H19,7,B7_N2,PIN_H21,,,,,,
LED[6],Output,PIN_J19,7,B7_N2,PIN_D12,,,,,,
LED[5],Output,PIN_E18,7,B7_N1,PIN_B10,,,,,,
LED[4],Output,PIN_F18,7,B7_N1,PIN_E27,,,,,,
LED[3],Output,PIN_F21,7,B7_N0,PIN_J19,,,,,,
LED[2],Output,PIN_E19,7,B7_N0,PIN_AF8,,,,,,
LED[1],Output,PIN_F19,7,B7_N0,PIN_C3,,,,,,
LED[0],Output,PIN_G19,7,B7_N2,PIN_F25,,,,,,
OE,Output,PIN_AD5,3,B3_N2,PIN_Y22,,,,,,
Reset,Input,PIN_M23,6,B6_N2,PIN_J28,,,,,,
Run,Input,PIN_R24,5,B5_N0,PIN_N25,,,,,,
S[15],Input,PIN_AA22,5,B5_N2,PIN_AB23,,,,,,
S[14],Input,PIN_AA23,5,B5_N2,PIN_AE28,,,,,,
S[13],Input,PIN_AA24,5,B5_N2,PIN_M27,,,,,,
S[12],Input,PIN_AB23,5,B5_N2,PIN_AC26,,,,,,
S[11],Input,PIN_AB24,5,B5_N2,PIN_AC25,,,,,,
S[10],Input,PIN_AC24,5,B5_N2,PIN_Y19,,,,,,
S[9],Input,PIN_AB25,5,B5_N1,PIN_AC24,,,,,,
S[8],Input,PIN_AC25,5,B5_N2,PIN_AH26,,,,,,
S[7],Input,PIN_AB26,5,B5_N1,PIN_AA21,,,,,,
S[6],Input,PIN_AD26,5,B5_N2,PIN_K27,,,,,,
S[5],Input,PIN_AC26,5,B5_N2,PIN_AG26,,,,,,
S[4],Input,PIN_AB27,5,B5_N1,PIN_AB24,,,,,,
S[3],Input,PIN_AD27,5,B5_N2,PIN_M26,,,,,,
S[2],Input,PIN_AC27,5,B5_N2,PIN_AA24,,,,,,
S[1],Input,PIN_AC28,5,B5_N2,PIN_AA23,,,,,,
S[0],Input,PIN_AB28,5,B5_N1,PIN_J27,,,,,,
UB,Output,PIN_AC4,2,B2_N2,PIN_AE16,,,,,,
WE,Output,PIN_AE8,3,B3_N1,PIN_AF20,,,,,,
CLOCK_50,Unknown,,,,,,,,,,
CLOCK2_50,Unknown,,,,,,,,,,
CLOCK3_50,Unknown,,,,,,,,,,
SMA_CLKIN,Unknown,,,,,,,,,,
SMA_CLKOUT,Unknown,,,,,,,,,,
LEDG[0],Unknown,,,,,,,,,,
LEDG[1],Unknown,,,,,,,,,,
LEDG[2],Unknown,,,,,,,,,,
LEDG[3],Unknown,,,,,,,,,,
LEDG[4],Unknown,,,,,,,,,,
LEDG[5],Unknown,,,,,,,,,,
LEDG[6],Unknown,,,,,,,,,,
LEDG[7],Unknown,,,,,,,,,,
LEDG[8],Unknown,,,,,,,,,,
LEDR[0],Unknown,,,,,,,,,,
LEDR[2],Unknown,,,,,,,,,,
LEDR[1],Unknown,,,,,,,,,,
LEDR[3],Unknown,,,,,,,,,,
LEDR[4],Unknown,,,,,,,,,,
LEDR[5],Unknown,,,,,,,,,,
LEDR[6],Unknown,,,,,,,,,,
LEDR[7],Unknown,,,,,,,,,,
LEDR[8],Unknown,,,,,,,,,,
LEDR[9],Unknown,,,,,,,,,,
LEDR[10],Unknown,,,,,,,,,,
LEDR[11],Unknown,,,,,,,,,,
LEDR[12],Unknown,,,,,,,,,,
LEDR[13],Unknown,,,,,,,,,,
LEDR[14],Unknown,,,,,,,,,,
LEDR[15],Unknown,,,,,,,,,,
LEDR[16],Unknown,,,,,,,,,,
LEDR[17],Unknown,,,,,,,,,,
KEY[0],Unknown,,,,,,,,,,
KEY[1],Unknown,,,,,,,,,,
KEY[2],Unknown,,,,,,,,,,
KEY[3],Unknown,,,,,,,,,,
SW[0],Unknown,,,,,,,,,,
SW[1],Unknown,,,,,,,,,,
SW[2],Unknown,,,,,,,,,,
SW[3],Unknown,,,,,,,,,,
SW[4],Unknown,,,,,,,,,,
SW[5],Unknown,,,,,,,,,,
SW[6],Unknown,,,,,,,,,,
SW[7],Unknown,,,,,,,,,,
SW[8],Unknown,,,,,,,,,,
SW[9],Unknown,,,,,,,,,,
SW[10],Unknown,,,,,,,,,,
SW[11],Unknown,,,,,,,,,,
SW[12],Unknown,,,,,,,,,,
SW[13],Unknown,,,,,,,,,,
SW[14],Unknown,,,,,,,,,,
SW[15],Unknown,,,,,,,,,,
SW[16],Unknown,,,,,,,,,,
SW[17],Unknown,,,,,,,,,,
LCD_BLON,Unknown,,,,,,,,,,
LCD_DATA[7],Unknown,,,,,,,,,,
LCD_DATA[6],Unknown,,,,,,,,,,
LCD_DATA[5],Unknown,,,,,,,,,,
LCD_DATA[4],Unknown,,,,,,,,,,
LCD_DATA[3],Unknown,,,,,,,,,,
LCD_DATA[2],Unknown,,,,,,,,,,
LCD_DATA[1],Unknown,,,,,,,,,,
LCD_DATA[0],Unknown,,,,,,,,,,
LCD_EN,Unknown,,,,,,,,,,
LCD_RW,Unknown,,,,,,,,,,
LCD_RS,Unknown,,,,,,,,,,
LCD_ON,Unknown,,,,,,,,,,
UART_TXD,Unknown,,,,,,,,,,
UART_RXD,Unknown,,,,,,,,,,
UART_CTS,Unknown,,,,,,,,,,
UART_RTS,Unknown,,,,,,,,,,
PS2_KBCLK,Unknown,,,,,,,,,,
PS2_KBDAT,Unknown,,,,,,,,,,
PS2_MSCLK,Unknown,,,,,,,,,,
PS2_MSDAT,Unknown,,,,,,,,,,
SD_DAT[0],Unknown,,,,,,,,,,
SD_DAT[1],Unknown,,,,,,,,,,
SD_DAT[2],Unknown,,,,,,,,,,
SD_DAT[3],Unknown,,,,,,,,,,
SD_CLK,Unknown,,,,,,,,,,
SD_CMD,Unknown,,,,,,,,,,
SD_WP_N,Unknown,,,,,,,,,,
VGA_B[7],Unknown,,,,,,,,,,
VGA_B[6],Unknown,,,,,,,,,,
VGA_B[5],Unknown,,,,,,,,,,
VGA_B[4],Unknown,,,,,,,,,,
VGA_B[3],Unknown,,,,,,,,,,
VGA_B[2],Unknown,,,,,,,,,,
VGA_B[1],Unknown,,,,,,,,,,
VGA_B[0],Unknown,,,,,,,,,,
VGA_G[7],Unknown,,,,,,,,,,
VGA_G[6],Unknown,,,,,,,,,,
VGA_G[5],Unknown,,,,,,,,,,
VGA_G[4],Unknown,,,,,,,,,,
VGA_G[3],Unknown,,,,,,,,,,
VGA_G[2],Unknown,,,,,,,,,,
VGA_G[1],Unknown,,,,,,,,,,
VGA_G[0],Unknown,,,,,,,,,,
VGA_R[7],Unknown,,,,,,,,,,
VGA_R[6],Unknown,,,,,,,,,,
VGA_R[5],Unknown,,,,,,,,,,
VGA_R[4],Unknown,,,,,,,,,,
VGA_R[3],Unknown,,,,,,,,,,
VGA_R[2],Unknown,,,,,,,,,,
VGA_R[1],Unknown,,,,,,,,,,
VGA_R[0],Unknown,,,,,,,,,,
VGA_CLK,Unknown,,,,,,,,,,
VGA_BLANK_N,Unknown,,,,,,,,,,
VGA_SYNC_N,Unknown,,,,,,,,,,
VGA_HS,Unknown,,,,,,,,,,
VGA_VS,Unknown,,,,,,,,,,
AUD_DACDAT,Unknown,,,,,,,,,,
AUD_DACLRCK,Unknown,,,,,,,,,,
AUD_ADCDAT,Unknown,,,,,,,,,,
AUD_ADCLRCK,Unknown,,,,,,,,,,
AUD_XCK,Unknown,,,,,,,,,,
AUD_BCLK,Unknown,,,,,,,,,,
EEP_I2C_SCLK,Unknown,,,,,,,,,,
EEP_I2C_SDAT,Unknown,,,,,,,,,,
I2C_SCLK,Unknown,,,,,,,,,,
I2C_SDAT,Unknown,,,,,,,,,,
ENET0_GTX_CLK,Unknown,,,,,,,,,,
ENET0_INT_N,Unknown,,,,,,,,,,
ENET0_MDC,Unknown,,,,,,,,,,
ENET0_MDIO,Unknown,,,,,,,,,,
ENET0_RESET_N,Unknown,,,,,,,,,,
ENET0_RX_CLK,Unknown,,,,,,,,,,
ENET0_RX_COL,Unknown,,,,,,,,,,
ENET0_RX_CRS,Unknown,,,,,,,,,,
ENET0_RX_DATA[0],Unknown,,,,,,,,,,
ENET0_RX_DATA[1],Unknown,,,,,,,,,,
ENET0_RX_DATA[2],Unknown,,,,,,,,,,
ENET0_RX_DATA[3],Unknown,,,,,,,,,,
ENET0_RX_DV,Unknown,,,,,,,,,,
ENET0_RX_ER,Unknown,,,,,,,,,,
ENET0_TX_CLK,Unknown,,,,,,,,,,
ENET0_TX_DATA[0],Unknown,,,,,,,,,,
ENET0_TX_DATA[1],Unknown,,,,,,,,,,
ENET0_TX_DATA[2],Unknown,,,,,,,,,,
ENET0_TX_DATA[3],Unknown,,,,,,,,,,
ENET0_TX_EN,Unknown,,,,,,,,,,
ENET0_TX_ER,Unknown,,,,,,,,,,
ENET1_GTX_CLK,Unknown,,,,,,,,,,
ENET1_INT_N,Unknown,,,,,,,,,,
ENET1_MDC,Unknown,,,,,,,,,,
ENET1_MDIO,Unknown,,,,,,,,,,
ENET1_RESET_N,Unknown,,,,,,,,,,
ENET1_RX_CLK,Unknown,,,,,,,,,,
ENET1_RX_COL,Unknown,,,,,,,,,,
ENET1_RX_CRS,Unknown,,,,,,,,,,
ENET1_RX_DATA[0],Unknown,,,,,,,,,,
ENET1_RX_DATA[1],Unknown,,,,,,,,,,
ENET1_RX_DATA[2],Unknown,,,,,,,,,,
ENET1_RX_DATA[3],Unknown,,,,,,,,,,
ENET1_RX_DV,Unknown,,,,,,,,,,
ENET1_RX_ER,Unknown,,,,,,,,,,
ENET1_TX_CLK,Unknown,,,,,,,,,,
ENET1_TX_DATA[0],Unknown,,,,,,,,,,
ENET1_TX_DATA[1],Unknown,,,,,,,,,,
ENET1_TX_DATA[2],Unknown,,,,,,,,,,
ENET1_TX_DATA[3],Unknown,,,,,,,,,,
ENET1_TX_EN,Unknown,,,,,,,,,,
ENET1_TX_ER,Unknown,,,,,,,,,,
ENET0_LINK100,Unknown,,,,,,,,,,
ENET1_LINK100,Unknown,,,,,,,,,,
NETCLK_25,Unknown,,,,,,,,,,
TD_DATA[7],Unknown,,,,,,,,,,
TD_DATA[6],Unknown,,,,,,,,,,
TD_DATA[5],Unknown,,,,,,,,,,
TD_DATA[4],Unknown,,,,,,,,,,
TD_DATA[3],Unknown,,,,,,,,,,
TD_DATA[2],Unknown,,,,,,,,,,
TD_DATA[1],Unknown,,,,,,,,,,
TD_DATA[0],Unknown,,,,,,,,,,
TD_CLK27,Unknown,,,,,,,,,,
TD_RESET_N,Unknown,,,,,,,,,,
TD_VS,Unknown,,,,,,,,,,
TD_HS,Unknown,,,,,,,,,,
OTG_DACK_N[1],Unknown,,,,,,,,,,
OTG_DACK_N[0],Unknown,,,,,,,,,,
OTG_CS_N,Unknown,,,,,,,,,,
OTG_OE_N,Unknown,,,,,,,,,,
OTG_DREQ[1],Unknown,,,,,,,,,,
OTG_DREQ[0],Unknown,,,,,,,,,,
OTG_WE_N,Unknown,,,,,,,,,,
OTG_ADDR[0],Unknown,,,,,,,,,,
OTG_ADDR[1],Unknown,,,,,,,,,,
OTG_FSPEED,Unknown,,,,,,,,,,
OTG_LSPEED,Unknown,,,,,,,,,,
OTG_INT[1],Unknown,,,,,,,,,,
OTG_INT[0],Unknown,,,,,,,,,,
OTG_RST_N,Unknown,,,,,,,,,,
OTG_DATA[0],Unknown,,,,,,,,,,
OTG_DATA[1],Unknown,,,,,,,,,,
OTG_DATA[2],Unknown,,,,,,,,,,
OTG_DATA[3],Unknown,,,,,,,,,,
OTG_DATA[4],Unknown,,,,,,,,,,
OTG_DATA[5],Unknown,,,,,,,,,,
OTG_DATA[6],Unknown,,,,,,,,,,
OTG_DATA[7],Unknown,,,,,,,,,,
OTG_DATA[8],Unknown,,,,,,,,,,
OTG_DATA[9],Unknown,,,,,,,,,,
OTG_DATA[10],Unknown,,,,,,,,,,
OTG_DATA[11],Unknown,,,,,,,,,,
OTG_DATA[12],Unknown,,,,,,,,,,
OTG_DATA[13],Unknown,,,,,,,,,,
OTG_DATA[14],Unknown,,,,,,,,,,
OTG_DATA[15],Unknown,,,,,,,,,,
IRDA_RXD,Unknown,,,,,,,,,,
DRAM_CLK,Unknown,,,,,,,,,,
DRAM_DQ[31],Unknown,,,,,,,,,,
DRAM_DQ[30],Unknown,,,,,,,,,,
DRAM_DQ[29],Unknown,,,,,,,,,,
DRAM_DQ[28],Unknown,,,,,,,,,,
DRAM_DQ[27],Unknown,,,,,,,,,,
DRAM_DQ[26],Unknown,,,,,,,,,,
DRAM_DQ[25],Unknown,,,,,,,,,,
DRAM_DQ[24],Unknown,,,,,,,,,,
DRAM_DQ[16],Unknown,,,,,,,,,,
DRAM_DQ[17],Unknown,,,,,,,,,,
DRAM_DQ[18],Unknown,,,,,,,,,,
DRAM_DQ[19],Unknown,,,,,,,,,,
DRAM_DQ[20],Unknown,,,,,,,,,,
DRAM_DQ[21],Unknown,,,,,,,,,,
DRAM_DQ[22],Unknown,,,,,,,,,,
DRAM_DQ[23],Unknown,,,,,,,,,,
DRAM_DQ[8],Unknown,,,,,,,,,,
DRAM_DQ[9],Unknown,,,,,,,,,,
DRAM_DQ[10],Unknown,,,,,,,,,,
DRAM_DQ[11],Unknown,,,,,,,,,,
DRAM_DQ[12],Unknown,,,,,,,,,,
DRAM_DQ[13],Unknown,,,,,,,,,,
DRAM_DQ[14],Unknown,,,,,,,,,,
DRAM_DQ[15],Unknown,,,,,,,,,,
DRAM_DQ[0],Unknown,,,,,,,,,,
DRAM_DQ[1],Unknown,,,,,,,,,,
DRAM_DQ[2],Unknown,,,,,,,,,,
DRAM_DQ[3],Unknown,,,,,,,,,,
DRAM_DQ[4],Unknown,,,,,,,,,,
DRAM_DQ[5],Unknown,,,,,,,,,,
DRAM_DQ[6],Unknown,,,,,,,,,,
DRAM_DQ[7],Unknown,,,,,,,,,,
DRAM_DQM[1],Unknown,,,,,,,,,,
DRAM_DQM[2],Unknown,,,,,,,,,,
DRAM_DQM[0],Unknown,,,,,,,,,,
DRAM_DQM[3],Unknown,,,,,,,,,,
DRAM_RAS_N,Unknown,,,,,,,,,,
DRAM_CAS_N,Unknown,,,,,,,,,,
DRAM_CKE,Unknown,,,,,,,,,,
DRAM_WE_N,Unknown,,,,,,,,,,
DRAM_CS_N,Unknown,,,,,,,,,,
DRAM_BA[0],Unknown,,,,,,,,,,
DRAM_BA[1],Unknown,,,,,,,,,,
DRAM_ADDR[12],Unknown,,,,,,,,,,
DRAM_ADDR[11],Unknown,,,,,,,,,,
DRAM_ADDR[10],Unknown,,,,,,,,,,
DRAM_ADDR[9],Unknown,,,,,,,,,,
DRAM_ADDR[8],Unknown,,,,,,,,,,
DRAM_ADDR[7],Unknown,,,,,,,,,,
DRAM_ADDR[6],Unknown,,,,,,,,,,
DRAM_ADDR[5],Unknown,,,,,,,,,,
DRAM_ADDR[4],Unknown,,,,,,,,,,
DRAM_ADDR[0],Unknown,,,,,,,,,,
DRAM_ADDR[1],Unknown,,,,,,,,,,
DRAM_ADDR[2],Unknown,,,,,,,,,,
DRAM_ADDR[3],Unknown,,,,,,,,,,
SRAM_DQ[15],Unknown,,,,,,,,,,
SRAM_DQ[14],Unknown,,,,,,,,,,
SRAM_DQ[13],Unknown,,,,,,,,,,
SRAM_DQ[12],Unknown,,,,,,,,,,
SRAM_DQ[11],Unknown,,,,,,,,,,
SRAM_DQ[10],Unknown,,,,,,,,,,
SRAM_DQ[9],Unknown,,,,,,,,,,
SRAM_DQ[8],Unknown,,,,,,,,,,
SRAM_DQ[7],Unknown,,,,,,,,,,
SRAM_DQ[6],Unknown,,,,,,,,,,
SRAM_DQ[5],Unknown,,,,,,,,,,
SRAM_DQ[4],Unknown,,,,,,,,,,
SRAM_DQ[3],Unknown,,,,,,,,,,
SRAM_DQ[2],Unknown,,,,,,,,,,
SRAM_DQ[1],Unknown,,,,,,,,,,
SRAM_DQ[0],Unknown,,,,,,,,,,
SRAM_UB_N,Unknown,,,,,,,,,,
SRAM_LB_N,Unknown,,,,,,,,,,
SRAM_CE_N,Unknown,,,,,,,,,,
SRAM_OE_N,Unknown,,,,,,,,,,
SRAM_WE_N,Unknown,,,,,,,,,,
SRAM_ADDR[5],Unknown,,,,,,,,,,
SRAM_ADDR[6],Unknown,,,,,,,,,,
SRAM_ADDR[7],Unknown,,,,,,,,,,
SRAM_ADDR[8],Unknown,,,,,,,,,,
SRAM_ADDR[9],Unknown,,,,,,,,,,
SRAM_ADDR[10],Unknown,,,,,,,,,,
SRAM_ADDR[11],Unknown,,,,,,,,,,
SRAM_ADDR[12],Unknown,,,,,,,,,,
SRAM_ADDR[13],Unknown,,,,,,,,,,
SRAM_ADDR[14],Unknown,,,,,,,,,,
SRAM_ADDR[0],Unknown,,,,,,,,,,
SRAM_ADDR[1],Unknown,,,,,,,,,,
SRAM_ADDR[2],Unknown,,,,,,,,,,
SRAM_ADDR[3],Unknown,,,,,,,,,,
SRAM_ADDR[4],Unknown,,,,,,,,,,
SRAM_ADDR[19],Unknown,,,,,,,,,,
SRAM_ADDR[18],Unknown,,,,,,,,,,
SRAM_ADDR[17],Unknown,,,,,,,,,,
SRAM_ADDR[16],Unknown,,,,,,,,,,
SRAM_ADDR[15],Unknown,,,,,,,,,,
FL_DQ[7],Unknown,,,,,,,,,,
FL_DQ[6],Unknown,,,,,,,,,,
FL_DQ[5],Unknown,,,,,,,,,,
FL_DQ[4],Unknown,,,,,,,,,,
FL_DQ[3],Unknown,,,,,,,,,,
FL_DQ[2],Unknown,,,,,,,,,,
FL_DQ[1],Unknown,,,,,,,,,,
FL_DQ[0],Unknown,,,,,,,,,,
FL_ADDR[0],Unknown,,,,,,,,,,
FL_ADDR[22],Unknown,,,,,,,,,,
FL_ADDR[21],Unknown,,,,,,,,,,
FL_ADDR[20],Unknown,,,,,,,,,,
FL_ADDR[19],Unknown,,,,,,,,,,
FL_ADDR[18],Unknown,,,,,,,,,,
FL_ADDR[17],Unknown,,,,,,,,,,
FL_ADDR[16],Unknown,,,,,,,,,,
FL_ADDR[15],Unknown,,,,,,,,,,
FL_ADDR[14],Unknown,,,,,,,,,,
FL_ADDR[13],Unknown,,,,,,,,,,
FL_ADDR[12],Unknown,,,,,,,,,,
